Id Personne;Id Famille;QF;Type repas;Nombre;id gale ou non ;type de repas simplifi par tarif identique 
1;325;999999;Repas Végétarien;2;;Repas vgtarien
2;497;636;Repas Standard;1;;Repas Standard
3;762;999999;Repas Standard;1;;Repas Standard
4;770;392;Repas Standard;125;oui;Repas Standard
4;770;999999;Repas Standard;1;;Repas Standard
5;786;1256;Repas Halal;1;;Repas Standard
6;1029;319;Repas Halal;13;oui;Repas Standard
6;1029;572;Repas Halal;10;;Repas Standard
7;1124;382;Repas Standard;82;;Repas Standard
8;1127;2243;Repas Standard;135;;Repas Standard
9;1132;1062;Repas Standard;62;oui;Repas Standard
9;1132;1062;Repas Végétarien;66;;Repas vgtarien
10;433;1458;Repas Standard;136;;Repas Standard
11;1143;999999;Repas Standard;130;;Repas Standard
12;1147;1967;Repas Standard;96;;Repas Standard
13;1148;1078;Repas Standard;69;;Repas Standard
14;526;1506;Repas Standard;48;;Repas Standard
15;1159;2011;Repas Standard;1;;Repas Standard
16;1175;142;Repas Halal;124;oui;Repas Standard
16;1175;776;Repas Halal;8;;Repas Standard
17;1177;1802;Repas Standard;62;;Repas Standard
18;1183;364;Repas Halal;126;;Repas Standard
19;8011;639;Repas Standard;86;;Repas Standard
20;1228;1077;Repas Standard;62;oui;Repas Standard
20;1228;999999;Repas Standard;72;;Repas Standard
21;1231;1215;Repas Standard;1;;Repas Standard
22;1234;815;Repas Standard;4;;Repas Standard
23;585;1069;Repas Végétarien;122;;Repas vgtarien
24;1257;342;Repas Standard;96;;Repas Standard
25;708;1409;Repas Standard;42;;Repas Standard
26;1281;2125;Repas Standard;98;;Repas Standard
27;1290;2962;Repas Standard;131;;Repas Standard
28;812;2133;Repas Standard;68;;Repas Standard
29;1244;1427;Repas Standard;135;;Repas Standard
30;824;397;Repas Standard;135;;Repas Standard
31;590;749;Repas Standard;89;;Repas Standard
32;1336;785;Repas Standard;68;;Repas Standard
33;1338;716;Repas Standard;135;;Repas Standard
34;1342;291;Repas Halal;104;;Repas Standard
35;1356;1103;Repas Standard;124;;Repas Standard
36;1367;874;Repas Standard;53;;Repas Standard
37;819;2496;Repas Standard;132;;Repas Standard
38;819;2496;Repas Standard;132;;Repas Standard
39;420;493;Repas Halal;130;;Repas Standard
40;1381;1805;Repas Standard;121;;Repas Standard
41;681;1680;Repas Standard;70;;Repas Standard
42;1387;368;Repas Standard;25;;Repas Standard
43;840;1290;Repas Végétarien;30;oui;Repas vgtarien
43;840;1290;Repas Standard;32;;Repas Standard
44;1391;1732;Repas Standard;34;;Repas Standard
45;723;266;Repas Standard;136;;Repas Standard
46;337;1738;Repas Végétarien;135;;Repas vgtarien
47;1034;593;Repas Standard;136;;Repas Standard
48;1398;1409;Repas Standard;131;;Repas Standard
49;1405;871;Repas Halal;97;;Repas Standard
50;473;854;Repas Sans Porc;35;;Repas Standard
51;1411;692;Repas Halal;136;;Repas Standard
52;1416;1342;Repas Standard;123;;Repas Standard
53;1146;1327;Repas Standard;60;;Repas Standard
