,strasbourg_metropole_quotient_familial,uid,cout_cantine
14700,301,100301,138.0
4244,455,200455,83.850006
3271,601,300601,135.0
2796,787,400787,380.0
12016,244,500244,15.0
2737,738,600738,478.8
425,333,700333,141.0
6398,701,800701,39.0
3983,405,900405,94.5
6272,380,1000380,45.0
2366,687,1100687,22.75
4817,455,1200455,283.80002
2642,885,1300885,61.600002
447,938,1400938,596.7
1464,607,1500607,280.80002
1039,1012,1601012,673.2
6469,382,1700382,198.0
4160,650,1800650,429.0
1566,766,1900766,0.0
1444,811,2000811,421.8
3085,495,2100495,262.30002
291,682,2200682,0.0
1431,620,2300620,43.2
1338,912,2400912,0.0
1385,1069,2501069,643.80005
1542,470,2600470,0.0
2341,444,2700444,290.25
5588,669,2800669,403.0
2405,1035,2901035,788.80005
1157,654,3000654,318.5
3504,395,3100395,408.0
4129,571,3200571,356.4
3847,399,3300399,237.0
8017,528,3400528,224.1
98,2330,3502330,469.2
296,2236,3602236,669.3
4418,354,3700354,0.0
5990,771,3800771,589.0
1954,463,3900463,156.95001
1720,273,4000273,339.0
8863,888,4100888,475.2
12428,631,4200631,273.0
3379,657,4300657,354.25
3380,798,4300798,547.19995
12387,403,4400403,168.0
501,1082,4501082,34.800003
545,691,4600691,435.5
15781,374,4700374,160.5
3681,427,4800427,34.4
4962,408,4900408,63.0
6405,694,5000694,0.0
1211,388,5100388,0.0
1624,316,5200316,141.0
483,232,5300232,6.0
10657,402,5400402,196.5
1730,587,5500587,693.9
3017,635,5600635,455.0
4498,1735,5701735,321.30002
4996,464,5800464,582.65
14591,574,5900574,89.1
1077,5372,6005372,220.8
2680,2310,6102310,683.10004
2898,1070,6201070,446.6
4097,266,6300266,339.0
9530,750,6400750,497.8
3578,447,6500447,176.3
8901,864,6600864,0.0
6166,1295,6701295,742.4
14683,430,6800430,262.30002
3569,635,6900635,438.75
4881,456,7000456,283.80002
584,225,7100225,144.0
10328,403,7200403,202.5
223,356,7300356,397.5
13286,406,7400406,196.5
2412,386,7500386,397.5
3169,419,7600419,21.5
2580,431,7700431,0.0
5187,395,7800395,18.0
502,2144,7902144,0.0
1615,983,8000983,20.4
4945,953,8100953,346.8
2238,3154,8203154,883.2
5994,474,8300474,561.15
2808,274,8400274,204.0
9404,1824,8501824,850.5
7370,395,8600395,123.0
1330,752,8700752,102.6
6424,531,8800531,5.4
12941,962,8900962,433.5
7216,628,9000628,438.75
3321,409,9100409,204.0
2358,378,9200378,204.0
1379,478,9300478,30.100002
9036,543,9400543,99.9
369,886,9500886,4.4
2543,937,9600937,652.8
5607,678,9700678,0.0
4008,266,9800266,24.0
4265,275,9900275,75.0
4266,99999,9999999,6.9
1869,740,10000740,277.4
3634,412,10100412,292.40002
2420,432,10200432,64.5
2700,682,10300682,370.5
945,640,10400640,136.5
6239,751,10500751,486.4
176,957,10600957,1387.2
10202,526,10700526,137.7
14527,452,10800452,288.1
6497,1250,10901250,788.80005
12020,511,11000511,108.0
1255,639,11100639,243.75
233,389,11200389,202.5
861,322,11300322,184.5
6020,607,11400607,145.8
2695,434,11500434,283.80002
3635,659,11600659,0.0
2925,431,11700431,565.4501
729,928,11800928,25.5
6260,493,11900493,36.550003
1438,320,12000320,357.0
1002,654,12100654,299.0
1275,1221,12201221,551.0
979,1161,12301161,330.6
6350,1346,12401346,788.80005
603,1801,12501801,831.60004
15344,386,12600386,195.0
2588,590,12700590,348.30002
6664,407,12800407,204.0
7606,582,12900582,723.6
5240,382,13000382,40.5
13089,448,13100448,43.0
1370,350,13200350,115.5
4864,384,13300384,97.5
4865,540,13300540,189.0
64,385,13400385,340.5
2541,300,13500300,0.0
4884,804,13600804,368.6
10493,767,13700767,1010.8
343,482,13800482,604.15
1287,99999,13999999,1766.4
7395,557,14000557,348.3
1156,756,14100756,22.8
3732,338,14200338,171.0
3733,99999,14299999,89.700005
3754,327,14300327,204.0
4155,1252,14401252,788.80005
3332,1518,14501518,765.60004
382,292,14600292,201.0
393,563,14700563,345.6
207,345,14800345,180.0
6808,439,14900439,197.8
2999,506,15000506,292.40002
2651,533,15100533,2.7
2494,510,15200510,219.3
4423,504,15300504,0.0
2413,392,15400392,0.0
3133,504,15500504,584.80005
211,346,15600346,42.0
3083,610,15700610,367.2
151,466,15800466,167.70001
2060,682,15900682,227.5
2854,371,16000371,199.5
4714,523,16100523,272.7
2665,1553,16201553,497.7
7282,551,16300551,21.6
169,272,16400272,22.5
4855,252,16500252,184.5
4856,494,16500494,4.3
1323,535,16600535,353.7
1068,554,16700554,167.40001
4669,598,16800598,0.0
12163,481,16900481,25.800001
4943,949,17000949,678.3
5645,546,17100546,151.2
10613,867,17200867,541.2
1145,1436,17301436,707.60004
3199,431,17400431,584.80005
172,918,17500918,52.800003
6412,488,17600488,275.2
